MAKEM,MAMH,TENMH,TENMH_ENG,MASUBJECTAREA,SOTC,SOTC_HP,SOTIET,SOTIET_XEPTKB,loai_mh,f_lt,f_bt,f_tn,f_btl,f_da,f_la,f_tq,f_makh,mau
,200025,THIET KE SAN PHAM       ,THIET KE SAN PHAM       ,ME,2,2,45,30,Lec,30,15,0,0,0,0,0,CK,
,200026,VE KY THUAT CO KHI      ,Technical Drawing in Mechanics                                                                                                    ,ME,3,3,75,66,Lec,66,9,0,0,0,0,0,CK,
,200027,TOI UU HOA              ,Method of Optimization                                                                                                            ,ME,2,2,45,30,Lec,30,0,15,0,0,0,0,CK,
,200028,DAMH TKHT TRUYEN DONG CK,Project Work - Design of System of Mechanical Drives                                                                              ,ME,1,1,45,0,,0,0,0,0,45,0,0,CK,
,200029,KT THUY LUC & KHI NEN   ,Hydraulics and Air Compressors                                                                                                    ,ME,2,2,45,30,Lec,30,15,0,0,0,0,0,CK,
,200030,THIET KE HT CO DIEN TU  ,THIET KE HT CO DIEN TU  ,ME,3,3,60,45,Lec,45,0,15,0,0,0,0,CK,
,200031,DAMH THIET KE (CO DTU)  ,DAMH THIET KE (CO DTU)  ,ME,1,1,45,0,,0,0,0,0,45,0,0,CK,
,200032,D/KHIEN BANG BIEN TRTHAI,D/KHIEN BANG BIEN TRTHAI,ME,2,2,45,30,Lec,30,15,0,0,0,0,0,CK,
,200033,VAT LIEU MOI            ,VAT LIEU MOI            ,ME,2,2,45,30,Lec,30,15,0,0,0,0,0,CK,
,200034,MAY CHE BIEN            ,MAY CHE BIEN            ,ME,2,2,45,30,Lec,30,15,0,0,0,0,0,CK,
,200035,KY THUAT HOC 2          ,KY THUAT HOC 2          ,20,3,3,45,30,Lec,30,15,0,0,0,0,0,BD,
,200036,TT DIEN - DIEN TU 1(CK) ,Pratice of Electrics and Electronics 1                                                                                            ,ME,1,1,30,30,Lab,0,0,30,0,0,0,0,CK,
,200037,TT DIEN - DIEN TU 2(CK) ,Pratice of Electrics and Electronics 2                                                                                            ,ME,1,1,30,30,Lab,0,0,30,0,0,0,0,CK,
,200051,DO HOA DIEN TOAN        ,DO HOA DIEN TOAN        ,ME,4,4,30,15,Lec,15,0,15,0,0,0,0,CK,
,200064,THUC TAP KY THUAT       ,Technical Practice                                                                                                                ,ME,2,2,60,60,Lab,0,0,60,0,0,0,0,CK,
,200065,THAM QUAN XI NGHIEP (CD),THAM QUAN XI NGHIEP (CD),20,0,5,0,0,,0,0,0,0,0,0,0,BD,
,200151,TOI UU HOA QTSX & QLXN  ,TOI UU HOA QTSX & QLXN  ,ME,6,6,45,45,Lec,45,0,0,0,0,0,0,CK,
,200152,THUC HANH TOI UU HOA    ,THUC HANH TOI UU HOA    ,ME,0,1,15,15,Lab,0,0,15,0,0,0,0,CK,
,200300,NHAP MON KY THUAT       ,Introduction to Engineering                                                                                                       ,ME,2,2,45,30,Lec,30,15,0,0,0,0,0,CK,
,200310,KNANG GTIEP-NG/NGHE (BT),KNANG GTIEP-NG/NGHE (BT),ME,0,0,15,15,Prsn,0,15,0,0,0,0,0,CK,
,201001,CO HOC LY THUYET        ,Theoretical Mechanics                                                                                                             ,20,3,3,60,45,Lec,45,15,0,1,0,0,0,UD,
,201002,THUC TAP KY THUAT       ,Engineering Practice                                                                                                              ,20,1,1,45,0,,0,0,0,0,0,0,0,UD,
,201003,CO UNG DUNG 1           ,Applied Mechanics 1                                                                                                               ,20,5,5,75,60,Lec,60,15,0,0,0,0,0,UD,
,201004,CO UNG DUNG 2           ,Applied Mechanics 2                                                                                                               ,20,5,5,75,60,Lec,60,15,0,0,0,0,0,UD,
,201005,P/PHAP TOI UU & QHTN    ,P/PHAP TOI UU & QHTN    ,20,4,4,60,45,Lec,45,15,0,0,0,0,0,UD,
,201006,PHUONG PHAP TOI UU      ,PHUONG PHAP TOI UU      ,20,3,3,45,45,Lec,45,0,0,0,0,0,0,UD,
,201007,DAMH CO UNG DUNG        ,DAMH CO UNG DUNG        ,20,3,3,135,0,,0,0,0,0,135,0,0,UD,
,201008,P/PHAP TINH & LT TOI UU ,P/PHAP TINH & LT TOI UU ,20,4,4,60,45,Lec,45,15,0,0,0,0,0,UD,
,201009,CO HOC                  ,CO HOC                  ,20,2,2,60,30,Lec,30,30,0,0,0,0,0,UD,
,201010,CO HOC UNG DUNG         ,Applied Mechanics                                                                                                                 ,20,3,3,60,45,Lec,45,15,0,0,0,0,0,UD,
,201011,CO LY THUYET            ,Theoretical Mechanics                                                                                                             ,20,3,3,60,45,Lec,45,15,0,0,0,0,0,UD,
,201012,CO HOC 2                ,CO HOC 2                ,20,3,3,60,45,Lec,45,15,0,0,0,0,0,UD,
,201013,CO HOC MAY              ,CO HOC MAY              ,20,4,4,60,60,Lec,60,0,0,0,0,0,0,UD,
,201014,P/PHAP TOI UU & QHTN    ,P/PHAP TOI UU & QHTN    ,20,4,4,60,45,Lec,45,15,0,0,0,0,0,UD,
,201015,CO LY THUYET            ,Theoretical Mechanics                                                                                                             ,20,3,3,45,45,Lec,45,0,0,0,0,0,0,UD,
,201016,CO UNG DUNG             ,Applied Mechanics                                                                                                                 ,20,3,3,45,45,Lec,45,0,0,0,0,0,0,UD,
,201017,CO LY THUYET            ,Theoretical Mechanics                                                                                                             ,20,5,5,75,75,Lec,75,0,0,0,0,0,0,UD,
,201018,CO HOC                  ,Mechanics                                                                                                                         ,20,2,2,45,30,Lec,30,15,0,0,0,0,0,UD,
,201019,CO LY THUYET 1          ,Theoretical Mechanics 1                                                                                                           ,20,2,2,45,30,Lec,30,15,0,0,0,0,0,UD,
,201020,CO LY THUYET NANG CAO   ,Advanced Theoretical Mechanics                                                                                                    ,20,2,2,45,30,Lec,30,15,0,0,0,0,0,UD,
,201021,CO KY THUAT (CKT)       ,Engineering Mechanics                                                                                                             ,20,3,3,60,45,Lec,45,15,0,0,0,0,0,UD,
,201022,COHOC MOITRUONG LIEN TUC,Continuum Mechanics                                                                                                               ,20,3,3,60,45,Lec,45,15,0,0,0,0,0,UD,
,201023,CAD UNG DUNG            ,Applied CAD                                                                                                                       ,20,2,2,45,30,Lec,30,15,0,0,0,0,0,UD,
,201024,DAO DONG CO SO          ,Basic Vibration                                                                                                                   ,20,2,2,45,30,Lec,30,15,0,0,0,0,0,UD,
,201025,DAO DONG KY THUAT       ,Engineering Vibration                                                                                                             ,20,3,3,60,45,Lec,45,15,0,0,0,0,0,UD,
,201026,DAN HOI UNG DUNG A      ,Applied Elasticity A                                                                                                              ,20,3,3,60,45,Lec,45,15,0,0,0,0,0,UD,
,201027,DOLUONG CAC DLUONG PDIEN,Measurement of Non-Electric Quantities                                                                                            ,20,2,2,45,30,Lec,30,15,0,0,0,0,0,UD,
,201028,LY THUYET DAN HOI       ,Theory of Elasticity                                                                                                              ,20,2,2,45,30,Lec,30,15,0,0,0,0,0,UD,
,201029,LY THUYET DEO KY THUAT  ,Theory of Engineering Plasticity                                                                                                  ,20,2,2,45,30,Lec,30,15,0,0,0,0,0,UD,
,201030,PP PHAN TU HUU HAN (CKT),Finite Element Method                                                                                                             ,20,2,2,45,30,Lec,30,15,0,0,0,0,0,UD,
,201031,PP PHANTU HHAN UDUNG(CKT,Applied Finite Element Method                                                                                                     ,20,3,3,60,45,Lec,45,15,0,0,0,0,0,UD,
,201032,THIET KE KY THUAT       ,Engineering Design                                                                                                                ,20,2,2,45,30,Lec,30,15,0,0,0,0,0,UD,
,201033,DAMH THIET KE KY THUAT  ,Project Work - Engineering Design                                                                                                 ,20,2,2,90,0,,0,0,0,0,90,0,0,UD,
,201034,TT MOPHONG CO KY THUAT 1,TT MOPHONG CO KY THUAT 1,20,2,2,60,60,Lab,0,0,60,0,0,0,0,UD,
,201035,TT MO PHONG CO KY THUA  ,Practice of Simulation in Engineering Mechanics                                                                                   ,20,2,2,60,60,Lab,0,0,60,0,0,0,0,UD,
,201036,THI NGHIEM CO HOC       ,Mechanics Labs                                                                                                                    ,20,2,2,60,60,Lab,0,0,60,0,0,0,0,UD,
,201037,UD CAC PMEM TRG TT COHOC,Software Application in Mechanical Computation                                                                                    ,20,3,3,60,45,Lec,45,15,0,0,0,0,0,UD,
,201038,XULY TIENG ON TRG KTHUAT,Noise Treatment in Engineering                                                                                                    ,20,3,3,60,45,Lec,45,15,0,0,0,0,0,UD,
,201039,UNG XU CO HOC CUA V/LIEU,Mechanical Behavior of Materials                                                                                                  ,20,2,2,45,30,Lec,30,15,0,0,0,0,0,UD,
,201040,DAMH MO PHONG CO HOC    ,Project Work - Modeling of Engineering Mechanics                                                                                  ,20,2,2,90,0,,0,0,0,0,90,0,0,UD,
,201041,CO HOC                  ,CO HOC                  ,20,3,3,45,30,Lec,30,15,0,0,0,0,0,BD,
,201042,TH L/TRINH T/TOAN CO HOC,Practice of Calculation Programming in Mechanics                                                                                  ,20,2,2,45,30,Lec,30,15,0,0,0,0,0,UD,
,201043,PT S/LIEU T/NGHIEM C/HOC,Analysis of Experimental Data in Mechanics                                                                                        ,20,2,2,45,30,Lec,30,15,0,0,0,0,0,UD,
