course_id,course_name,resource_type
205021,CONG NGHE HAN 3,MECHANICAL_WORKSHOP
205022,KT BIEN DANG TAO HINH,GENERAL
205023,CONG NGHE HAN,GENERAL
205024,KT TAO HINH KIM LOAI BOT,GENERAL
205025,LUYEN KIM HAN,GENERAL
205026,KY THUAT PHUN PHU BE MAT,GENERAL
205027,KY THUAT DUC KIM LOAI,GENERAL
205028,THIET KE KHUON DAP,GENERAL
205029,DUC AP LUC,GENERAL
205051,CONG NGHE KIM LOAI,GENERAL
205052,CONG NGHE TAO PHOI,GENERAL
205701,CAC PHUONG PHAP TAO DANG,GENERAL
205901,PHUONG PHAP CAN KIM LOAI,GENERAL
205902,LY THUYET BIEN DANG,GENERAL
205903,CO SO LY THUYET HAN,GENERAL
205904,LT & CN GIA CONG PHOI,GENERAL
205905,PHUONG PHAP HAN DAC BIET,GENERAL
205906,PHUONG PHAP CAN DAC BIET,GENERAL
205907,CONG NGHE & THIET BI HAN,GENERAL
205908,CONG NGHE DAP KIM LOAI,GENERAL
206001,THI NGHIEM O TO 1,MECHANICAL_WORKSHOP
206002,THI NGHIEM O TO 2,MECHANICAL_WORKSHOP
206004,TN TB DONG LUC & PTGT,MECHANICAL_WORKSHOP
206005,PP THONG KE PT GIAOTHONG,GENERAL
206006,VL DUNG TRONG TB DONGLUC,GENERAL
206007,TB KIEM TRA TB DONG LUC,GENERAL
206008,CAI THIEN QT CHAY DCDT,GENERAL
206009,DAC DIEM KET CAU DCDT,GENERAL
206010,DONG HOC&D/LUC HOC PTGT,GENERAL
206011,KT SC CO KHI DONG LUC,GENERAL
206012,DAC DIEM CN GC PTGT,GENERAL
206013,KY THUAT KHAI THAC O TO,MECHANICAL_WORKSHOP
206014,DAC DIEM TB DIEN PTGT,GENERAL
206015,TC XN CO KHI DL & PTGT,GENERAL
206016,TRANG BI CHAN DOAN TBDL,GENERAL
206017,CO CAU DAC BIET PTGT,GENERAL
206018,KT MAY DONG LUC,GENERAL
206019,TK CAC HT DONG CO DTRONG,GENERAL
206020,PP TK DONG CO DOT TRONG,GENERAL
206021,LY THUYET O TO,GENERAL
206022,PHUONG PHAP THIET KE OTO,GENERAL
206023,KHAI THAC & SUA CHUA OTO,GENERAL
206024,MAY KEO &MAY NONG NGHIEP,GENERAL
206025,DONG CO DOT TRONG,GENERAL
206026,O TO VA MOI TRUONG,GENERAL
206027,TNGHIEM & KIEM DINH O TO,MECHANICAL_WORKSHOP
206028,CN LAP RAP & CHE TAO OTO,MECHANICAL_WORKSHOP
206029,HE THONG DIEN - D/TU OTO,GENERAL
206032,KT S/DUNG &KHAI THAC OTO,GENERAL
206033,SUA CHUA O TO,MECHANICAL_WORKSHOP
206034,KY THUAT OTO CHUYEN DUNG,GENERAL
206035,NLIEU DMO_CL CHUYEN DUNG,GENERAL
206036,DKHIEN TU DONG TREN OTO,GENERAL
206037,THIET KE CAC H/THONG OTO,GENERAL
206038,KY THUAT TAU THUYEN,GENERAL
206039,TIN HOC UD TRONG TAUTHUY,COMPUTER_LAB
206040,THIET BI TAU THUY,GENERAL
206041,TK CAC HT D/CO DOT TRONG,GENERAL
206042,LY THUYET D/CO DOT TRONG,GENERAL
206043,THUC TAP CONG NHAN,MECHANICAL_WORKSHOP
206044,KCAU DONG CO DTRONG (CD),MECHANICAL_WORKSHOP
206046,THIET KE TAU THUY,GENERAL
206048,SUC CAN VA LUC DAY TAU,GENERAL
206053,SUA CHUA O TO,GENERAL
206054,NHIEN LIEU & DAU MO,GENERAL
206055,KHAI THAC & S/C OTO MKEO,GENERAL
206056,TRANG BI DIEN O TO MKEO,GENERAL
206057,CDE DAO DONG OTO MAY KEO,GENERAL
206101,CO KET CAU (GT),GENERAL
206102,TN KY THUAT GIAO THONG 1,MECHANICAL_WORKSHOP
206103,CO KY THUAT 1,GENERAL
206104,CO KY THUAT 2,GENERAL
206105,KET CAU DONG CO & O TO,MECHANICAL_WORKSHOP
206106,KET CAU TAU THUY,GENERAL
206107,VE KY THUAT (GT),GENERAL
206108,THUY KHI DLHUD_MAY TBTK,GENERAL
206109,THUC TAP DIEN DAI CUONG,ELECTRICAL_LAB
206110,TT CO KHI DAI CUONG,MECHANICAL_WORKSHOP
206111,TN KY THUAT GIAO THONG 2,MECHANICAL_WORKSHOP
206112,TN DONG CO DOT TRONG,MECHANICAL_WORKSHOP
206113,TH/KE DONG CO DOT TRONG,GENERAL
206114,LY THUYET TAU THUY 1,GENERAL
206115,MAY DONG LUC TAU THUY,GENERAL
206116,THIET KE O TO,GENERAL
206117,LY THUYET TAU THUY 2,GENERAL
206118,TK HT DONG LUC TAU THUY,GENERAL
206120,CN DONG &SUACHUA TAUTHUY,GENERAL
206121,THIET KE KET CAU TAUTHUY,GENERAL
206122,TN KY THUAT TAU THUY,OTHER_SPECIAL
206123,TO CHUC VAN TAI O TO,GENERAL
206124,THI NGHIEM O TO,OTHER_SPECIAL
206125,TT BAO DUONG SUACHUA OTO,MECHANICAL_WORKSHOP
206128,DONG CO TURBINE,GENERAL
206129,MO PHONG DONG CO DT& OTO,COMPUTER_LAB
206130,KTBD & SDUNG OTO MAY KEO,GENERAL
206131,CONG NGHE O TO,GENERAL
206132,KY THUAT CHE TAO,GENERAL
206133,CHAN DOAN & KIEMDINH OTO,GENERAL
206134,CAD UNGDUNG TRONG TK OTO,GENERAL
206135,QUAN LY DA DONG MOI PTVT,GENERAL
206136,TOCHUC QLSX TRG CN DGTAU,GENERAL
206137,TRANG BI DIEN - D/TU TAU,GENERAL
