course_id,course_name,faculty_id,faculty_name,credits,total_hours,lecture_hours,exercise_hours,lab_hours,project_hours,assignment_hours,thesis_hours,course_type,companion_course_id,resource_type,resource_confidence
CO3051,Hệ thống thiết bị di độn,CO,,3,150,30,0,20,0,15,0,LECTURE,CO3052,GENERAL,1.0
CO3053,Hệ thống nhúng,CO,,3,150,30,0,15,0,23,0,LECTURE,CO3054,GENERAL,1.0
CO3057,Xử lý ?nh số và Thị giác,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO3059,Đồ họa Máy tính,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO3061,Nhập môn Trí tuệ Nhân tạ,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO3065,Công nghệ Phần mềm Nâng,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO3067,Tính toán Song song,CO,,3,150,30,0,20,0,15,0,LECTURE,CO3068,GENERAL,1.0
CO3069,Mật mã và An ninh mạng,CO,,3,150,30,0,20,0,15,0,LECTURE,CO3070,GENERAL,1.0
CO3071,Hệ phân bố,CO,,3,150,30,0,20,0,15,0,LECTURE,CO3072,GENERAL,1.0
CO3083,MAT MA HOC VA MA HOA TT,CO,,3,150,30,0,30,0,0,0,LECTURE,CO3084,GENERAL,1.0
CO3085,Xử lý Ngôn ngữ Tự nhiên,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO3089,Những Chủ đề Nâng cao tr,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO3093,Mạng máy tính,CO,,3,150,30,0,20,0,15,0,LECTURE,CO3094,GENERAL,1.0
CO3115,Phân tích và Thiết kế Hệ,CO,,3,150,30,10,0,0,30,0,LECTURE,CO3116,GENERAL,1.0
CO3117,Học máy,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO3141,Điện toán đám mây,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO3143,Giới thiệu hệ thống trên,CO,,3,150,30,0,20,0,15,0,LECTURE,CO3144,GENERAL,1.0
CO3145,Thiết kế luận lý với HDL,CO,,3,150,30,0,20,0,15,0,LECTURE,CO3146,GENERAL,1.0
CO3147,THIET KE VI MACH NANG CA,CO,,3,150,30,0,20,0,15,0,LECTURE,CO3148,GENERAL,1.0
CO3149,Tổng hợp luận lý vi mạch,CO,,3,150,30,0,20,0,15,0,LECTURE,CO3150,GENERAL,1.0
CO4025,MANG XA HOI & THONG TIN,CO,,3,75,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO4031,Kho dữ Liệu và Hệ hỗ trợ,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO4033,Phân tích Dữ liệu lớn và,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO4035,Hệ hoạch Định tài Nguyên,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO4037,Hệ thống thông tin quản,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO4039,Bảo mật sinh trắc,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
EE1001,Nhập môn Về kỹ Thuật,EE,,3,150,30,0,20,0,15,0,LECTURE,EE1002,GENERAL,1.0
